ensembl_transcript_id	gene_symbol	ko_0	ko_1	ko_2	ko_3	mean_effect
ENST00000223215.8	MEST	0	0.9077662628500001	1.3086234218599997	0.3598011594199999	1.1081948423549999
ENST00000535352.2	TMEM210	0	1.0107644223099999	1.2027891990299997	0.34217205331999967	1.1067768106699998
ENST00000017003.6	XYLT2	0	0.8033487514000002	1.37972351181	0.24779818297	1.091536131605
ENST00000324868.12	YARS2	0	0.9374204717199999	1.2444634634399998	0.48507612374999987	1.0909419675799998
ENST00000243498.9	EXOSC9	0	1.00531742187	1.1756657368700005	0.5182653899200003	1.0904915793700003
ENST00000529473.5	ADAM15	0	0.8211292937000003	1.3488270437	0.3611353688800003	1.0849781687000002
ENST00000372455.4	MED8	0	1.16556495275	0.9829717770999999	0.4024364945600003	1.074268364925
ENST00000430952.6	LILRB4	0	0.8999569480700003	1.24846856486	0.43296332653000036	1.0742127564650001
ENST00000271843.8	JTB	0	0.9790913682500002	1.1485358368500003	0.44404095273	1.0638136025500002
ENST00000623603.3	FCGR1B	0	0.8390854215000001	1.2815958001799999	0.5531921318699999	1.06034061084
ENST00000297142.3	NEUROD6	0	1.0869800824200002	1.0315985216800003	0.5650136875100005	1.0592893020500003
ENST00000517827.5	RIMS1	0	0.8517297402199997	1.25930323607	-0.2118325536000003	1.0555164881449999
ENST00000513350.2	FAM193A	0	1.1278939109900001	0.9536367859100001	0.23768241858999994	1.0407653484500001
ENST00000393651.7	SRPK2	0	0.9943652950800002	1.0719585286100002	0.39164627870000013	1.0331619118450002
ENST00000290399.10	SIM2	0	1.0017099620100005	1.0346906427100002	0.33038079026000045	1.0182003023600004
ENST00000333383.7	NPB	0	0.9179955837300002	1.1117855848300002	0.40036582047000024	1.0148905842800002
ENST00000523207.1	KCNB2	0	1.1327917053999998	0.88145266092	0.3359880501700001	1.00712218316
ENST00000361807.7	ZNF485	0	1.03308616507	0.9760329191899999	0.14535477934000007	1.00455954213
ENST00000358450.8	PDE11A	0	1.1333680789699998	0.8546371058799997	0.4076500745799998	0.9940025924249998
ENST00000612959.4	NSRP1	0	0.9652259956199996	1.01733721665	0.43910407666000006	0.9912816061349998
ENST00000357641.10	BRPF3	0	0.9407222218300002	1.0198754833000003	0.20380282269000016	0.9802988525650003
ENST00000263054.10	SORCS1	0	0.9194213441599999	1.0406602994300003	0.4299059780500003	0.9800408217950001
ENST00000528759.5	DDIAS	0	0.9564636800000001	0.98733657433	-0.21740944550999997	0.9719001271650001
ENST00000533603.5	SERPINH1	0	1.11645333501	0.80409358536	0.3973848269799998	0.960273460185
ENST00000262067.4	TSPAN13	0	0.91067781958	0.9719140470399998	0.07126720359999972	0.9412959333099999
ENST00000615917.4	EI24	0	0.8296127468800001	1.05033636885	-0.11780499953000012	0.9399745578650001
ENST00000420978.6	TSLP	0	0.9870565419199999	0.8592702621499999	0.16658440611000014	0.9231634020349999
ENST00000628549.1	UBE2A	0	0.86466401499	0.9780319898000001	0.06234966263000019	0.921348002395
ENST00000301175.7	PRODH2	0	0.9098348200399999	0.9265901732099997	0.23593435061	0.9182124966249998
ENST00000517956.5	FBXO32	0	0.8097606250200005	0.9770765868600004	0.35554995425000024	0.8934186059400004
ENST00000378246.6	DCLRE1C	0	0.9193442867299999	0.8011945944200001	0.3302260712199998	0.860269440575
ENST00000612022.1	TMEM185A	0	0.9052308386299996	0.8068569558099998	0.3911572662399996	0.8560438972199997
ENST00000259253.10	UGGT1	0	0.87442094256	0.83496546144	0.31507537839	0.854693202
ENST00000613206.1	IQSEC1	0	0.8307150067699998	0.8710131751999994	0.16023687542999943	0.8508640909849996
ENST00000514455.5	RACK1	0	0.8485994736499998	0.83474559187	0.4388463911099998	0.8416725327599999
ENST00000285900.9	GRIA1	0	0.8812086610600001	0.8009100709699997	-0.4409298998300002	0.8410593660149999
ENST00000315571.5	LDLRAD3	0	0.8083687413100002	0.8283648662500003	0.4302704473800003	0.8183668037800003
ENST00000340026.10	TRAF3IP2	0	0.8085444341099999	0.8095475908399998	0.3141757088399997	0.8090460124749999
